Id,Time,FaceConfidence,GazeConfidence,FaceThreshold,GazeThreshold,ImgPeriod
261553FF447FAA6EDDDD9D95B9C2BDF7,2018.10.04-14.08.19,42.383251,7.994657,0.0,0.0,1.5
1E1CD19E48408800403A139B05195161,2018.10.04-14.08.55,0.0,10.105658,0.0,0.0,1.5
E958BD6F446BF6A36F84A885785420E2,2018.10.04-14.09.31,0.0,4.861018,0.0,0.0,1.5
79D873D3493C88FD600ECB800BC4471F,2018.10.05-16.21.03,0.0,4.703442,0.0,0.0,1.5
33753BAB4142B879F20C159A329D69F6,2018.10.07-15.03.39,0.0,14.341558,0.0,0.0,1.5
6307D36842B9464B744AB8A715D590DD,2018.10.07-15.12.46,0.0,4.018008,0.0,0.0,1.5
8187A6604C36ECA8D5F10F8DAB27995D,2018.10.09-12.03.47,0.0,8.76545,0.0,0.0,1.5
