Id,Time,FaceConfidence,GazeConfidence,FaceThreshold,GazeThreshold,ImgPeriod
B7CD9757411351D72AD6D69E66B1E8F5,2018.10.20-16.34.25,38.549305,4.139199,0.0,0.0,1.5
29DED93F4E6D65465A94B89CA50F22A0,2018.10.20-16.34.56,0.0,4.766643,0.0,0.0,1.5
139BAF3C49A8CDDDDB5607B4E3299A46,2018.10.20-16.35.40,33.181992,3.315866,0.0,0.0,1.5
5A24B59F495DFAB1B676CC8D80A34FB6,2018.11.06-12.18.07,0.0,20.988661,0.0,0.0,1.5
C44C326E4AFB821DB03D6292B4228048,2018.11.06-12.52.39,0.0,22.014217,0.0,0.0,1.5
4F3BABB2435C752DC0026C8F94F3F702,2018.11.06-12.53.21,0.0,16.762318,0.0,0.0,1.5
