Id,Time,FaceConfidence,GazeConfidence,FaceThreshold,GazeThreshold,ImgPeriod
2233C12540F24D4E56AACD8CC7D4F4EC,2018.10.05-16.11.34,22.115467,8.14147,0.0,0.0,1.5
AC2A4CA94C84D409AB40758D208B6ACD,2018.10.05-16.12.12,0.0,6.756829,0.0,0.0,1.5
F520D2F84253C63D84526282EC4CA954,2018.10.05-16.13.00,25.24201,7.78422,0.0,0.0,1.5
2031505641C74F27FA4F70819240E81B,2018.10.07-15.03.10,0.0,17.137218,0.0,0.0,1.5
10863DC745C582168CF231A374746ADD,2018.10.09-10.54.54,0.0,6.755969,0.0,0.0,1.5
BAFE1692499D0B0D8791C9A9C86AA30D,2018.10.09-12.04.24,0.0,15.185019,0.0,0.0,1.5
CF4A85B44DDD89ACC063989C9B4E2540,2018.10.20-16.36.43,0.0,8.597975,0.0,0.0,1.5
2CB9369C455A800C2C280BABFFA612B7,2018.11.06-12.43.33,0.0,18.482567,0.0,0.0,1.5
