Id,Time,FaceConfidence,GazeConfidence,FaceThreshold,GazeThreshold,ImgPeriod
5E49A45549A9380CE34906AE005F75E3,2018.10.07-15.00.33,18.56382,4.056901,0.0,0.0,1.5
C26E4C9D4D58D60776FA8E96A507FC46,2018.10.07-15.01.13,25.228075,4.8984,0.0,0.0,1.5
B91849FC4F8214DCE3AC8BB53AD63C8C,2018.10.07-15.01.50,17.537432,5.6363,0.0,0.0,1.5
AC372F3945047E5A3E31D588BD1D03CD,2018.10.07-15.12.07,0.0,8.836839,0.0,0.0,1.5
27061A674ACBE29DE31F41B9943960F6,2018.11.06-12.04.02,0.0,11.03036,0.0,0.0,1.5
94F3BF4247D3728C6DFC2B8C23C04251,2018.11.06-12.07.48,0.0,9.57479,0.0,0.0,1.5
